
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002744                       # Number of seconds simulated (Second)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                          11425097                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       1168529                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                    202152                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                            2115225                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        1380283                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       946696                       # Number of stores executed (Count)
system.cpu.numRate                           2.082125                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             195                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           18955                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     8432218                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                       9964965                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.650746                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.650746                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.536698                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.536698                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   14508096                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                   9012321                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                         32                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                    37343408                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    4550943                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                   1907655                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                      165                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        1148062                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       1147234                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       163081                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       341311                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
